senator,ticker,owner,buybasis,sellbasis,totalamount,earning_rate,first_buy,last_sell,open_state
"A. Mitchell Mcconnell, Jr.",IR,Spouse,58.0,34.0,375000.0,-0.41379310344827586,2021-11-15,2019-06-03,-1.0
"A. Mitchell Mcconnell, Jr.",VMC,Spouse,202.0,126.0,375000.0,-0.37623762376237624,2021-11-15,2019-06-03,-1.0
"A. Mitchell Mcconnell, Jr.",WFC,Spouse,46.2,51.0,120000.0,0.10389610389610383,2021-03-03,2021-11-15,1.0
"Angus S King, Jr.",ADBE,Spouse,577.0,659.0,8000.0,0.14211438474870017,2021-06-24,2021-11-15,1.0
"Angus S King, Jr.",AMZN,Spouse,1706.0,3550.0,8000.0,1.0808909730363423,2019-01-31,2021-11-15,1.0
"Angus S King, Jr.",AXP,Spouse,182.0,98.0,8000.0,-0.46153846153846156,2021-11-15,2019-01-10,-1.0
"Angus S King, Jr.",CB,Spouse,110.0,136.0,8000.0,0.23636363636363636,2016-01-19,2018-08-28,0.0
"Angus S King, Jr.",CMCSA,Spouse,44.0,53.0,8000.0,0.20454545454545456,2019-07-23,2021-11-15,1.0
"Angus S King, Jr.",COP,Spouse,49.0,40.0,8000.0,-0.1836734693877551,2017-11-28,2020-08-18,0.0
"Angus S King, Jr.",CSCO,Spouse,57.0,33.0,8000.0,-0.42105263157894735,2021-11-15,2017-10-19,-1.0
"Angus S King, Jr.",DIS,Spouse,159.0,112.0,8000.0,-0.29559748427672955,2021-11-15,2017-05-03,-1.0
"Angus S King, Jr.",EMC,Spouse,22450.0,12227.0,8000.0,-0.4553674832962138,2021-11-15,2016-07-14,-1.0
"Angus S King, Jr.",GE,Spouse,107.0,223.0,8000.0,1.0841121495327102,2021-11-15,2016-10-19,-1.0
"Angus S King, Jr.",GILD,Spouse,67.0,73.0,8000.0,0.08955223880597014,2021-11-15,2018-04-23,-1.0
"Angus S King, Jr.",IBM,Spouse,119.0,141.0,8000.0,0.18487394957983194,2021-11-15,2017-07-20,-1.0
"Angus S King, Jr.",KMI,Spouse,16.0,15.0,8000.0,-0.0625,2021-11-15,2015-12-16,-1.0
"Angus S King, Jr.",MKC,Spouse,82.0,70.0,8000.0,-0.14634146341463414,2021-11-15,2019-01-10,-1.0
"Angus S King, Jr.",NKE,Spouse,169.0,82.0,8000.0,-0.514792899408284,2021-11-15,2018-08-28,-1.0
"Angus S King, Jr.",NVS,Spouse,82.0,73.0,8000.0,-0.10975609756097561,2021-11-15,2017-11-10,-1.0
"Angus S King, Jr.",PG,Spouse,147.0,88.0,8000.0,-0.4013605442176871,2021-11-15,2017-11-17,-1.0
"Angus S King, Jr.",SLB,Spouse,61.0,39.0,12000.0,-0.36065573770491804,2017-11-28,2018-10-17,0.0
"Angus S King, Jr.",TEVA,Spouse,9.0,43.0,8000.0,3.7777777777777777,2021-11-15,2016-10-19,-1.0
"Angus S King, Jr.",TGT,Spouse,264.0,56.0,8000.0,-0.7878787878787878,2021-11-15,2017-05-03,-1.0
"Angus S King, Jr.",TMO,Spouse,495.0,635.0,8000.0,0.2828282828282828,2021-06-24,2021-11-15,1.0
"Angus S King, Jr.",VZ,Spouse,59.0,52.0,8000.0,-0.11864406779661017,2020-08-18,2021-11-15,1.0
"Angus S King, Jr.",WAT,Spouse,352.0,217.0,8000.0,-0.3835227272727273,2021-11-15,2019-07-23,-1.0
"Angus S King, Jr.",XOM,Spouse,64.0,42.0,8000.0,-0.34375,2021-11-15,2020-08-18,-1.0
Chris Van Hollen,GE,Self,107.0,233.0,32500.0,1.1775700934579438,2021-11-15,2017-02-17,-1.0
Chris Van Hollen,JNJ,Self,164.0,118.0,8000.0,-0.2804878048780488,2021-11-15,2017-02-17,-1.0
