transaction_date,owner,ticker,asset_type,type,amount,senator,basis,SPY basis
09/30/2021,Joint,PG,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,141,432
09/30/2021,Joint,NFLX,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,611,432
09/30/2021,Joint,MPWR,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,488,432
09/30/2021,Joint,KEYS,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,166,432
09/30/2021,Joint,KLAC,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,337,432
09/30/2021,Joint,JNJ,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,163,432
09/30/2021,Joint,INTU,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,545,432
09/30/2021,Joint,GNRC,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,410,432
09/30/2021,Joint,EL,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,304,432
09/30/2021,Joint,EXP,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,133,432
09/30/2021,Joint,DEO,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,194,432
09/30/2021,Joint,CTAS,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,385,432
09/30/2021,Joint,CABO,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,1831,432
09/30/2021,Joint,BKE,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,41,432
09/30/2021,Joint,ALLE,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,134,432
09/30/2021,Joint,APD,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,258,432
09/29/2021,Joint,WAL,Stock,Sale (Full),"$1,001 - $15,000",Thomas H Tuberville,107,435
09/29/2021,Joint,MMM,Stock,Sale (Full),"$1,001 - $15,000",Thomas H Tuberville,180,435
09/29/2021,Joint,DECK,Stock,Sale (Full),"$1,001 - $15,000",Thomas H Tuberville,373,435
09/29/2021,Joint,CLX,Stock,Sale (Full),"$1,001 - $15,000",Thomas H Tuberville,167,435
09/29/2021,Joint,CHE,Stock,Sale (Full),"$1,001 - $15,000",Thomas H Tuberville,469,435
09/29/2021,Joint,BHP,Stock,Sale (Full),"$1,001 - $15,000",Thomas H Tuberville,52,435
09/29/2021,Joint,ATHM,Stock,Sale (Full),"$1,001 - $15,000",Thomas H Tuberville,44,435
09/29/2021,Joint,AME,Stock,Sale (Full),"$1,001 - $15,000",Thomas H Tuberville,127,435
09/20/2021,Joint,SSYS,Stock,Purchase,"$50,001 - $100,000",Thomas H Tuberville,22,433
09/03/2021,Self,J,Stock,Purchase,"$1,001 - $15,000",Cynthia M Lummis,136,452
09/28/2021,Spouse,GOOG,Stock,Sale (Partial),"$1,001 - $15,000",Thomas R Carper,2752,436
09/28/2021,Spouse,AAPL,Stock,Sale (Partial),"$15,001 - $50,000",Thomas R Carper,142,436
09/27/2021,Spouse,NRDY,Stock,Purchase,"$1,001 - $15,000",Roy Blunt,10,442
08/25/2021,Spouse,AAPL,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,149,448
08/17/2021,Spouse,MSFT,Stock,Sale (Partial),"$1,001 - $15,000",Shelley M Capito,292,443
08/17/2021,Spouse,AAPL,Stock,Sale (Partial),"$1,001 - $15,000",Shelley M Capito,150,443
08/30/2021,Spouse,BABA,Stock,Sale (Full),"$1,001 - $15,000",Sheldon Whitehouse,160,451
08/30/2021,Joint,MCHP,Stock,Sale (Full),"$15,001 - $50,000",Sheldon Whitehouse,79,451
08/30/2021,Joint,T,Stock,Sale (Full),"$15,001 - $50,000",Sheldon Whitehouse,27,451
08/18/2021,Joint,SSYS,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,20,441
08/12/2021,Joint,SSBK,Stock,Purchase,"$50,001 - $100,000",Thomas H Tuberville,20,444
08/23/2021,Spouse,LMRK,Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,16,446
08/11/2021,Spouse,WW,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,23,443
08/04/2021,Spouse,ARE,Stock,Sale (Partial),"$1,001 - $15,000",Thomas R Carper,204,439
08/04/2021,Spouse,COR,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,139,439
07/21/2021,Joint,CLF,Stock,Purchase,"$100,001 - $250,000",Thomas H Tuberville,20,433
07/19/2021,Joint,CLF,Stock,Sale (Full),"$50,001 - $100,000",Thomas H Tuberville,19,426
07/19/2021,Joint,AA,Stock,Sale (Full),"$50,001 - $100,000",Thomas H Tuberville,31,426
07/16/2021,Joint,CRWD,Stock,Purchase,"$15,001 - $50,000",Thomas H Tuberville,251,433
07/16/2021,Joint,NWL,Stock,Purchase,"$15,001 - $50,000",Thomas H Tuberville,27,433
07/16/2021,Joint,PEGA,Stock,Purchase,"$15,001 - $50,000",Thomas H Tuberville,132,433
07/16/2021,Joint,PEP,Stock,Purchase,"$15,001 - $50,000",Thomas H Tuberville,155,433
07/16/2021,Self,XLY,Stock,Purchase,"$15,001 - $50,000",Thomas H Tuberville,179,433
07/16/2021,Self,MTUM,Stock,Purchase,"$15,001 - $50,000",Thomas H Tuberville,170,433
07/16/2021,Self,SQ,Stock,Purchase,"$15,001 - $50,000",Thomas H Tuberville,238,433
